formatname,datatype,codevalue,codetext
ABNCSFMT,integer,1,Normal
ABNCSFMT,integer,2,"Abnormal, NOT clinically significant"
ABNCSFMT,integer,3,"Abnormal, clinically significant"
ACTFMT,integer,1,Drug withdrawn
ACTFMT,integer,2,Dose reduced
ACTFMT,integer,3,Dose increased
ACTFMT,integer,4,Dose not changed
ACTFMT,integer,5,IMP paused
ACTFMT,integer,97,Not applicable
ACTFMT,integer,98,Unknown
AEEXPFMT,integer,1,Expected
AEEXPFMT,integer,2,Unexpected
AEOUTFMT,integer,1,Recovering/resolving
AEOUTFMT,integer,2,Not recovered/not resolved
AEOUTFMT,integer,3,Recovered/resolved
AEOUTFMT,integer,4,Recovered/resolved with sequelae
AEOUTFMT,integer,5,Fatal
AERE2FMT,integer,1,Unrelated
AERE2FMT,integer,2,Unlikely related
AERE2FMT,integer,3,Possibly related
AERE2FMT,integer,4,Probable related
AERE2FMT,integer,5,Definite
AERELFMT,integer,1,Unrelated
AERELFMT,integer,2,Unlikely related
AERELFMT,integer,3,Possibly related
AERELFMT,integer,4,Probable related
AERELFMT,integer,5,Definite
AERELFMT,integer,97,Not applicable
AESAEFMT,integer,1,I hereby confirm that I have reviewed this SAE/AESI and all related information in the CRF
CHBFMT,integer,1,Carboplatin and Vinorelbine/Pemetrexed
CHBFMT,integer,99,Other
CHEMOFMT,integer,1,Carboplatin
CHEMOFMT,integer,2,Pemetrexed
CHEMOFMT,integer,3,Paclitaxel
CHEMOFMT,integer,4,Vinorelbine
CHEMOFMT,integer,5,Bevacizumab
CHEMOFMT,integer,99,Other
CHREGFMT,integer,1,Temozolomide concomitant to radiotherapy
CHREGFMT,integer,2,Temozolomide 150-200 mg/m2/day 1-5
CHREGFMT,integer,3,Lomustine
CL_S591F,integer,5355,Laboratory range - OUS
CL_S591F,integer,5356,Laboratory range - OUS
CMDOSFMT,integer,1,g (gram)
CMDOSFMT,integer,2,mg (milligram)
CMDOSFMT,integer,3,ug (microgram)
CMDOSFMT,integer,4,L (liter)
CMDOSFMT,integer,5,mL (milliliter)
CMDOSFMT,integer,97,Not applicable
CMDOSFMT,integer,99,Other
CMFRQFMT,integer,1,QD (once a day)
CMFRQFMT,integer,2,BID (twice a day)
CMFRQFMT,integer,3,TID (three times a day)
CMFRQFMT,integer,4,QID (four times a day)
CMFRQFMT,integer,5,QOD (every other day)
CMFRQFMT,integer,6,QM (every month)
CMFRQFMT,integer,7,QOM (every other month)
CMFRQFMT,integer,8,QH (every hour)
CMFRQFMT,integer,9,Once a week
CMFRQFMT,integer,10,PRN (as needed)
CMFRQFMT,integer,99,Other
CMRTFMT,integer,1,Oral
CMRTFMT,integer,2,Topical
CMRTFMT,integer,3,Subcutaneous
CMRTFMT,integer,4,Intradermal
CMRTFMT,integer,5,Transdermal
CMRTFMT,integer,6,Inhalation
CMRTFMT,integer,7,Intravenous
CMRTFMT,integer,8,Intraperitoneal
CMRTFMT,integer,9,Nasal
CMRTFMT,integer,10,Vaginal
CMRTFMT,integer,99,Other
CMRTFMT,integer,98,Not applicable
COFIDFMT,integer,1,12-lead ECG
COFIDFMT,integer,2,Adverse Event
COFIDFMT,integer,3,Blood Test for Exploratory Research
COFIDFMT,integer,4,Chemotherapy
COFIDFMT,integer,5,Diagnosis
COFIDFMT,integer,6,Disease Progression
COFIDFMT,integer,7,ECOG
COFIDFMT,integer,8,Eligibility
COFIDFMT,integer,9,End of Study
COFIDFMT,integer,10,End of Treatment
COFIDFMT,integer,11,EORTC QLQ-BN20
COFIDFMT,integer,12,EORTC QLQ-C30
COFIDFMT,integer,13,Immunotherapeutic Agents
COFIDFMT,integer,14,IMP Administration
COFIDFMT,integer,15,Inclusion/Exclusion Evaluation
COFIDFMT,integer,16,Informed Consent/Demographics
COFIDFMT,integer,17,Karnofsky Performance Scale
COFIDFMT,integer,18,Medical History
COFIDFMT,integer,19,NANO
COFIDFMT,integer,20,Other Cancer Therapy
COFIDFMT,integer,21,Physical Examination
COFIDFMT,integer,22,Pregnancy Test
COFIDFMT,integer,23,Previous Treatment
COFIDFMT,integer,24,Prior and Concomitant Medication
COFIDFMT,integer,25,Protocol Deviation and Tracking form
COFIDFMT,integer,26,Radiographic Status
COFIDFMT,integer,27,Radiology
COFIDFMT,integer,28,Randomization
COFIDFMT,integer,29,Safety Questions
COFIDFMT,integer,30,Steroid Treatment
COFIDFMT,integer,31,Survival Assessment
COFIDFMT,integer,32,Upload/Download
COFIDFMT,integer,33,Visit Information
COFIDFMT,integer,34,Vital Signs
COFIDFMT,integer,97,NA
COHORFMT,string,Recurrent glioblastoma,Recurrent glioblastoma
COHORFMT,string,Newly diagnosed glioblastoma,Newly diagnosed glioblastoma
COHORFMT,string,Brain metastases,Brain metastases
COVIDFMT,integer,1,Screening
COVIDFMT,integer,2,Randomization and baseline MRI
COVIDFMT,integer,3,Cycle 1 -4 days
COVIDFMT,integer,4,Cycle 1
COVIDFMT,integer,5,Cycle 2
COVIDFMT,integer,6,Cycle 3
COVIDFMT,integer,7,Cycle 4
COVIDFMT,integer,8,Cycle 5
COVIDFMT,integer,9,Cycle 6
COVIDFMT,integer,10,Cycle 7
COVIDFMT,integer,11,Cycle 8
COVIDFMT,integer,12,Cycle 9
COVIDFMT,integer,13,Cycle 10
COVIDFMT,integer,14,Cycle 11
COVIDFMT,integer,15,Cycle 12
COVIDFMT,integer,16,Cycle 13
COVIDFMT,integer,17,Cycle 14
COVIDFMT,integer,18,Cycle 16
COVIDFMT,integer,19,Cycle 17
COVIDFMT,integer,20,Cycle 18
COVIDFMT,integer,21,Cycle 19
COVIDFMT,integer,22,Cycle 22
COVIDFMT,integer,23,Cycle 23
COVIDFMT,integer,24,12 months FU
COVIDFMT,integer,25,24 months FU
COVIDFMT,integer,26,Study B - Cycle 1
COVIDFMT,integer,27,Study B - Cycle 2
COVIDFMT,integer,28,Study B - Cycle 3
COVIDFMT,integer,29,Study B - Safety FU
COVIDFMT,integer,30,Study B - 12 months FU
COVIDFMT,integer,31,Study B - 24 months FU
COVIDFMT,integer,97,NA
CSCHGFMT,integer,1,Stable
CSCHGFMT,integer,2,Increase
CSCHGFMT,integer,3,Decrease
CTRTFMT,integer,1,Reirradiation
CTRTFMT,integer,2,Reirradiation with concomitant temozolomide
CTRTFMT,integer,3,SRS
CTRTFMT,integer,4,Surgery
CTRTFMT,integer,5,Temozolomide
CTRTFMT,integer,6,Lomustine
CTRTFMT,integer,7,Chemotherapy
CTRTFMT,integer,8,Immunotherapy combined with Chemotherapy
CTRTFMT,integer,9,Immunotherapy
CTRTFMT,integer,10,Targeted therapy/TKI
CTRTFMT,integer,99,Other
DIAFMT,string,1,Recurrent glioblastoma
DIAFMT,string,2,Newly diagnosed glioblastoma
DIAFMT,string,3,Brain metastases
DOSEFMT,string,0,0mg
DOSEFMT,string,25,25mg
DOSEFMT,string,50,50mg
DOSEFMT,string,100,100mg
DOSFMT,integer,25,25mg
DOSFMT,integer,50,50mg
DOSFMT,integer,100,100mg
DPROGFMT,integer,1,Radiographic by RANO
DPROGFMT,integer,2,By clinical
DPROGFMT,integer,3,Radiographic by RANO and by clinical
DSFMT,integer,1,Alive
DSFMT,integer,2,Dead
DSLMUFMT,integer,1,EGFR mutation
DSLMUFMT,integer,2,ALK translocation
DSLMUFMT,integer,3,ROS-1 translocation
DSLMUFMT,integer,99,Other
DSLMUFMT,integer,0,None
DSLTCFMT,integer,1,Adenocarcinom
DSLTCFMT,integer,2,Squamous cell carcinoma
DSLTCFMT,integer,99,Other
DSLTCFMT__2F,integer,1,Adenocarcinom
DSLTCFMT__2F,integer,2,Plateepitelcarcinom
DSTRFMT,string,"12,5","12,5mg"
DSTRFMT,string,50,50mg
DSTRFMT,string,100,100mg
